id;nome;immagine;immagine_content_type;content_type;tipo;menu_id
98e30466-0ae7-44c1-b93e-fbf1e83a5a5a;fluctuate jovially yowza;../fake-data/blob/hipster.png;image/png;deserted;LOGO;7cd26b27-5477-4491-b957-b3ca0a88a651
e22334e9-b346-43a6-a59a-3a24dedff9e3;independence roadway down;../fake-data/blob/hipster.png;image/png;that um;LOGO;c7ab3d80-c0f0-44a3-ad9c-1bb0aeac0556
42accc20-c520-4995-b919-895145b1c169;tremendously ugh;../fake-data/blob/hipster.png;image/png;dusk boo um;VETRINA;6d207391-834a-4234-b4a0-c6158240f3c9
c79134dd-cb34-471d-a7cb-789fffeea96f;mash;../fake-data/blob/hipster.png;image/png;yahoo;VETRINA;ff028e95-b0d5-435d-a2d1-877dac5ef199
5aadb04d-a2b4-4533-b0e5-b9037e204d05;in those;../fake-data/blob/hipster.png;image/png;indeed since wilted;LOGO;dbe79fcf-ede3-41db-aed4-1a5420bf812c
6b81d35f-6b03-47b5-b778-b497d95423e0;yum;../fake-data/blob/hipster.png;image/png;mindless;LOGO;199c0bdc-56ce-4ddf-8d52-b0a9daa2a61a
6ab21663-4047-49dc-bf79-f06c38ad25ff;oh readily;../fake-data/blob/hipster.png;image/png;contrail light;VETRINA;8eb99efb-927e-4f1d-90a0-cccd752a8c2d
14ffb7c2-2574-46bd-9288-e1ea6f618bb2;joy;../fake-data/blob/hipster.png;image/png;likewise;VETRINA;43a7c9d3-d7ed-4722-87c8-f7c7a1673841
c6e72a91-32af-429a-b49b-0e5cf22a4374;than corrupt hunt;../fake-data/blob/hipster.png;image/png;into;VETRINA;1b894c37-0c74-470f-a625-587e986f8d5f
5422842e-6135-414b-8f0e-51682d5f269f;eek;../fake-data/blob/hipster.png;image/png;plus whenever;LOGO;82def985-3aca-41cb-89d9-2e7611cb9777
